title,link
"미국국채 금리가 오르고, 달러가 약해지는 이유",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223831763187&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
시진핑의 권력은 괜찮을까?,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223830785829&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
"미국, IMO(국제해사기구) 협상에서 철수, 한국 조선업 영향은",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223829449610&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
조선업 근황 업데이트(feat 장애요인 제거),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223826853817&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
한국의 WGBI 편입 실행이 왜 연기되었을까?,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223827789174&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
일론 머스크와 피터 나바로가 싸우기 시작했다.,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223824523012&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
미국의 중국선박 폭탄 수수료 부과준비가 끝났다.,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223824026921&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
"46% 관세에 베트남이 움직였고, 트럼프가 호응했다.",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223823214792&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
부산항과 홍콩 최대부자 리카싱의 연결고리,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223822010211&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
현금부자 워렌 버핏이 사무라이 본드를 발행하는 비밀,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223820827175&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=1&postListTopCurrentPage=&from=
홍콩 최대부자 리카싱 이야기(feat 파나마운하와 중국),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223819003038&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
중국은 대만공격 준비를 어떻게 하고 있을까,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223818015572&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
"마러라고 협정 파문 (feat 100년짜리 미국국채, 미란 보고서)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223816865434&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
미국증시 폭락과 미국국채 10년물 폭등이 일어난 이유,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223814796934&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
미얀마 대지진 및 내전 근황 (feat 태국에서 납치되면 가는곳),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223814105873&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
워런 버핏이 애플 주식을 파는 비밀,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223813128598&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
"트럼프, 4월2일부터 외국산 자동차에 25% 관세부과, 현대차는",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223811333024&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
"올해는 금, 은보다 동(구리)이 좋을지도",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223810645252&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
"트럼프, 현대차! 어려움 생기면 나를 찾아오라.",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223808807557&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
"아파트 영끌 매수, 막차를 타는가? (feat 스트레스DSR)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223808233603&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=2&postListTopCurrentPage=&from=
신상 태양전지가 곧 나온다 A/S (feat 페로브스카이트 탠덤),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223808192009&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
한화에어로스페이스 유상증자의 비밀,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223806941122&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
신상 태양전지가 곧 나온다 (feat 페로브스카이트 탠덤),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223806114288&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
"미장이 잠깐 안도한 이유, 3월 20일, FOMC 파월 기자회견의 비밀",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223803807672&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
한국인들이 일본 부동산을 꽤 매수하고 있다는데,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223802449020&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
최근 중국 증시가 오르는 이유,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223800231421&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
공매도가 다시 돌아온다.,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223799528922&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
"부채한도 협상 시즌이 되었다. 미장과 채권, 금값은 어떻게 될까?",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223798163962&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
MG 손해보험 파산으로 가나?,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223794975542&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
"미국, 러시아의 천연가스도 가져가나?",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223793045952&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=3&postListTopCurrentPage=&from=
EU가 재무장을 시작했다. 한국 방위산업은 괜찮을까?,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223792321113&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
일본 조선업의 한계와 경쟁력을 알아보자 2,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223791212832&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
일본 조선업의 문제는 무엇일까? 1,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223790383044&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
베센트 재무 장관의 인터뷰로 읽는 트럼프의 속마음,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223789414923&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
엔화가 계속 강해질까?,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223788111880&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
"중국이 본격적으로 돈을 푼다(feat 양회, 철광석, 구리)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223785427489&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
"트럼프, 의회에서 한국을 언급하다(feat 알래스카 가스관, 관세)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223784816464&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
새마을금고는 정말 괜찮을까?,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223783302577&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
트럼프와 재무부장관은 미국국채 10년물 금리를 낮출 수 있을까?,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223782075275&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
"조선업의 새로운 변수 A/S (feat USTR, 선박수수료, HMM)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223780835433&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=4&postListTopCurrentPage=&from=
주식은 언제 팔아야 할까? 2 (feat 매도 타이밍),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223778178736&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
"미국과 중국간 에너지 패권전쟁 근황( feat 우주 삼협댐,태양광)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223776683758&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
"다이소의 건강기능식품 판매 괜찮을까? (feat 돈 키호테,대웅제약)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223775063362&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
핵무장을 포기한 우크라이나와 실패한 대만 이야기,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223773428715&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
"조선업의 새로운 변수, 미국 USTR 보고서 2(feat 컨테이너선)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223771815011&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
"조선업의 새로운 변수, 미국 USTR 보고서 1(feat LNG운반선)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223771847550&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
트럼프가 우크라이나 희토류에 집착하는 숨겨진 이유,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223770615057&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
"재무제표 보는 법(feat 이익 3종세트,영업이익,공헌이익,EBITDA)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223768442019&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
"한한령과 제주도 근황(feat 신화월드, 롯데)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223767490158&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
"인도네시아가 바뀌고 있다. (feat 수도침몰, 프라보워)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223764410916&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=5&postListTopCurrentPage=&from=
늦었다고 생각할때가 시작일 경우가 많다 5 (feat 방위산업),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223763644828&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
늦었다고 생각할때가 시작일 경우가 많다 4 (feat 조선업),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223762176604&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
"금값이 계속 오를까? 2 (feat 바젤, 온누리상품권, 금테크)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223761683347&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
"금값이 계속 오를까? 1 (feat 바젤, 인도, 튀르키예, 이집트, 이란)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223761625938&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
신용등급의 색다른 접근,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223760171249&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
국민연금은 어떤 종목을 사고 팔았을까?,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223758859351&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
"철강, 알루미늄에 이어서 더 센것을 준비하는 트럼프",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223758147991&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
"대체거래소 출범의 비밀 (feat 넥스트레이드, ATS, HFT)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223756555045&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
트럼프를 만난 이시바가 알래스카를 언급한 이유,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223755523008&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
일본 '2024년 문제'와 엔화 동향(feat 일본은행 금리인상),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223753742157&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=6&postListTopCurrentPage=&from=
한국과 동남아 교도소 이야기,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223750923076&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
"조선업 거액 파생상품 손실의 비밀 (feat 선물환, 삼성중공업)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223752534479&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
"필리핀, 사라 두테르테 부통령 탄핵의 비밀 2",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223749412896&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
"필리핀, 사라 두테르테 부통령 탄핵의 비밀 1",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223749403336&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
"미국 중범죄자와 불법 이민자 대환영 (feat 사설 교도소, 엘살바도르)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223749902410&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
해외 배당주 ETF가 시끄러운 이유,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223748733856&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
중국 추가 관세의 숨겨진 목표 (feat 트럼프),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223746869977&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
망한듯한 오사카 엑스포 근황 (feat 한국에도 의외의 여파가),https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223746198637&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
대만 반도체회사 TSMC의 고민,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223744781363&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
엔비디아의 젠슨 황은 트럼프와 어떤 만남을 가졌을까?,https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223744819608&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=7&postListTopCurrentPage=&from=
"미중 반도체 전쟁과 엔비디아의 상황(feat DeepSeek,트럼프)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223742878807&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=8&postListTopCurrentPage=&from=
"양자컴퓨터가 아니라 양자통신? (feat양자인터넷,엔비디아,젠슨 황)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223742398365&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=8&postListTopCurrentPage=&from=
"파월, 트럼프와 각을 세우다. (feat FOMC, 연준 기준금리 동결)",https://blog.naver.com/PostView.naver?blogId=ranto28&logNo=223742107913&categoryNo=21&parentCategoryNo=0&viewDate=&currentPage=8&postListTopCurrentPage=&from=
